mcu,filename,n_samples,n_windows,ambient_temperature,actual_soh,predicted_soh,std_soh,error,abs_pct_error,temp_label,soh_band
mcu7,mcu7/2024-10-27_15.36.55 Pulse_Test_SamsungINR2170050E_Cell 7 Zelltester_1.hdf,11221,5,0.03657350689172745,0.9476896260546831,0.9472074508666992,0.005259167868643999,-0.0004821751879838798,0.05087901932526352,moderate (-10 to 10C),SoH > 85%
mcu7,mcu7/2024-10-28_01.05.18 Pulse_Test_SamsungINR2170050E_Cell 7 Zelltester_1.hdf,5485,2,-0.016801388934254646,0.9467241391815752,0.9494577050209045,0.00014078617095947266,0.002733565839329377,0.2887394253718398,moderate (-10 to 10C),SoH > 85%
mcu7,mcu7/2024-10-29_15.08.30 7 Zelltester_1.hdf,20677,7,-20.014781951904297,0.9456775327485478,0.9477168917655945,0.005697187036275864,0.0020393590170466602,0.21565057288813883,extreme (<-10 or >10C),SoH > 85%
mcu7,mcu7/2024-10-30_03.43.36 7 Zelltester_1.hdf,9771,4,-20.04873275756836,0.9445516918079871,0.9439465403556824,0.0028184999246150255,-0.0006051514523047752,0.06406758439513686,extreme (<-10 or >10C),SoH > 85%
mcu7,mcu7/2024-10-30_13.05.54 7 Zelltester_1.hdf,4476,2,-20.043508529663086,0.9433485014122788,0.9464981555938721,0.0038415193557739258,0.0031496541815932977,0.3338802337500911,extreme (<-10 or >10C),SoH > 85%
mcu7,mcu7/2025-02-12_13.09.55 Aging_SamsungINR2170050E_Cell 7 Zelltester_1.hdf,3432,1,25.008604049682617,0.9329187282986111,0.9332475066184998,0.0,0.00032877831988864514,0.03524190370668697,reference (23-27C),SoH > 85%
mcu7,mcu7/2025-02-12_17.31.50 Aging_SamsungINR2170050E_Cell 7 Zelltester_1.hdf,3421,1,25.013166427612305,0.9297550998263889,0.932440996170044,0.0,0.0026858963436550143,0.2888821308059021,reference (23-27C),SoH > 85%
mcu7,mcu7/2025-02-12_21.52.30 Aging_SamsungINR2170050E_Cell 7 Zelltester_1.hdf,3420,1,24.990230560302734,0.9296203342013889,0.9322465062141418,0.0,0.0026261720127529475,0.28249941574363463,reference (23-27C),SoH > 85%
mcu7,mcu7/2025-02-13_02.15.07 Aging_SamsungINR2170050E_Cell 7 Zelltester_1.hdf,3421,1,25.01968002319336,0.9299077690972222,0.9322187900543213,0.0,0.002311020957099119,0.2485215237359202,reference (23-27C),SoH > 85%
mcu7,mcu7/2025-02-13_06.35.52 Aging_SamsungINR2170050E_Cell 7 Zelltester_1.hdf,3419,1,25.010929107666016,0.9293292100694445,0.9314970374107361,0.0,0.002167827341291617,0.2332679655177981,reference (23-27C),SoH > 85%
mcu7,mcu7/2025-02-13_10.56.29 Aging_SamsungINR2170050E_Cell 7 Zelltester_1.hdf,3418,1,24.980392456054688,0.9289583333333333,0.9311516284942627,0.0,0.002193295160929365,0.23610264123034205,reference (23-27C),SoH > 85%
mcu7,mcu7/2025-02-13_15.18.25 Aging_SamsungINR2170050E_Cell 7 Zelltester_1.hdf,3418,1,24.992225646972656,0.9289251302083333,0.931060254573822,0.0,0.002135124365488683,0.2298489185032416,reference (23-27C),SoH > 85%
mcu7,mcu7/2025-02-13_19.41.55 Aging_SamsungINR2170050E_Cell 7 Zelltester_1.hdf,3418,1,24.9921875,0.9288661024305556,0.930793285369873,0.0,0.0019271829393174844,0.2074769371252371,reference (23-27C),SoH > 85%
mcu7,mcu7/2025-02-14_00.05.27 Aging_SamsungINR2170050E_Cell 7 Zelltester_1.hdf,3416,1,25.00433349609375,0.9284728732638889,0.929920494556427,0.0,0.0014476212925380594,0.1559142258458443,reference (23-27C),SoH > 85%
mcu7,mcu7/2025-02-14_04.27.46 Aging_SamsungINR2170050E_Cell 7 Zelltester_1.hdf,3414,1,25.002620697021484,0.9278235677083333,0.9293367266654968,0.0,0.0015131589571635295,0.16308692835868985,reference (23-27C),SoH > 85%
mcu7,mcu7/2025-02-14_08.51.54 Aging_SamsungINR2170050E_Cell 7 Zelltester_1.hdf,3414,1,25.008344650268555,0.927765625,0.9292172193527222,0.0,0.0014515943527221298,0.1564613210068146,reference (23-27C),SoH > 85%
mcu7,mcu7/2025-02-14_16.32.39 Aging_SamsungINR2170050E_Cell 7 Zelltester_1.hdf,3426,1,25.005794525146484,0.9312338324652778,0.9302082657814026,0.0,-0.001025566683875212,0.11012987803076318,reference (23-27C),SoH > 85%
mcu7,mcu7/2025-02-14_20.58.38 Aging_SamsungINR2170050E_Cell 7 Zelltester_1.hdf,3412,1,24.995464324951172,0.9273474392361111,0.9288613200187683,0.0,0.0015138807826572398,0.16324849981839354,reference (23-27C),SoH > 85%
mcu7,mcu7/2025-02-15_01.23.54 Aging_SamsungINR2170050E_Cell 7 Zelltester_1.hdf,3410,1,24.99904441833496,0.9268226996527777,0.9284664392471313,0.0,0.0016437395943535993,0.17735210790255843,reference (23-27C),SoH > 85%
mcu7,mcu7/2025-02-15_05.48.41 Aging_SamsungINR2170050E_Cell 7 Zelltester_1.hdf,3408,1,25.000633239746094,0.9262619357638889,0.9278392791748047,0.0,0.0015773434109157547,0.170291291265782,reference (23-27C),SoH > 85%
mcu7,mcu7/2025-02-15_10.13.39 Aging_SamsungINR2170050E_Cell 7 Zelltester_1.hdf,3406,1,25.017892837524414,0.9258016493055555,0.9274373650550842,0.0,0.001635715749528699,0.17668101485406193,reference (23-27C),SoH > 85%
mcu7,mcu7/2025-02-15_14.38.23 Aging_SamsungINR2170050E_Cell 7 Zelltester_1.hdf,3404,1,24.986793518066406,0.9252237413194444,0.9269300699234009,0.0,0.0017063286039564751,0.18442334840252927,reference (23-27C),SoH > 85%
mcu7,mcu7/2025-02-15_19.01.39 Aging_SamsungINR2170050E_Cell 7 Zelltester_1.hdf,3401,1,25.004302978515625,0.9244112413194444,0.9262048006057739,0.0,0.0017935592863295158,0.1940217952963776,reference (23-27C),SoH > 85%
mcu7,mcu7/2025-02-15_23.27.44 Aging_SamsungINR2170050E_Cell 7 Zelltester_1.hdf,3402,1,25.006940841674805,0.9245166015625,0.925842821598053,0.0,0.0013262200355529385,0.14345010498584132,reference (23-27C),SoH > 85%
mcu7,mcu7/2025-02-16_03.54.17 Aging_SamsungINR2170050E_Cell 7 Zelltester_1.hdf,3400,1,24.995765686035156,0.9240082465277778,0.9253444671630859,0.0,0.0013362206353081385,0.1446113322396597,reference (23-27C),SoH > 85%
mcu7,mcu7/2025-02-16_08.19.38 Aging_SamsungINR2170050E_Cell 7 Zelltester_1.hdf,3397,1,24.988948822021484,0.9233091362847222,0.9249076247215271,0.0,0.001598488436804879,0.17312602832427199,reference (23-27C),SoH > 85%
mcu7,mcu7/2025-02-17_13.39.07 Aging_SamsungINR2170050E_Cell 7 Zelltester_1.hdf,3407,1,25.00128936767578,0.9259329427083334,0.925976574420929,0.0,4.363171259558207e-05,0.0047121892507636974,reference (23-27C),SoH > 85%
mcu7,mcu7/2025-02-17_18.03.40 Aging_SamsungINR2170050E_Cell 7 Zelltester_1.hdf,3390,1,25.012407302856445,0.9214525824652777,0.9253956079483032,0.0,0.003943025483025497,0.42791409542488085,reference (23-27C),SoH > 85%
mcu7,mcu7/2025-02-17_22.29.17 Aging_SamsungINR2170050E_Cell 7 Zelltester_1.hdf,3391,1,25.009883880615234,0.9215707465277778,0.9250428080558777,0.0,0.003472061528099868,0.3767547463047877,reference (23-27C),SoH > 85%
mcu7,mcu7/2025-02-18_02.54.14 Aging_SamsungINR2170050E_Cell 7 Zelltester_1.hdf,3389,1,24.997024536132812,0.9210754123263889,0.9242894053459167,0.0,0.00321399301952785,0.34893918310230077,reference (23-27C),SoH > 85%
mcu7,mcu7/2025-02-18_07.19.15 Aging_SamsungINR2170050E_Cell 7 Zelltester_1.hdf,3387,1,25.01474380493164,0.9206399739583333,0.923504114151001,0.0,0.0028641401926676746,0.3111031753654117,reference (23-27C),SoH > 85%
mcu7,mcu7/2025-02-18_11.45.44 Aging_SamsungINR2170050E_Cell 7 Zelltester_1.hdf,3386,1,24.991064071655273,0.9203806423611111,0.9226912260055542,0.0,0.0023105836444431427,0.2510465277187551,reference (23-27C),SoH > 85%
mcu7,mcu7/2025-02-18_16.11.15 Aging_SamsungINR2170050E_Cell 7 Zelltester_1.hdf,3384,1,24.99962043762207,0.9196410590277778,0.9219180345535278,0.0,0.0022769755257500135,0.24759393933076204,reference (23-27C),SoH > 85%
mcu7,mcu7/2025-02-18_20.37.10 Aging_SamsungINR2170050E_Cell 7 Zelltester_1.hdf,3382,1,25.001399993896484,0.9191356336805555,0.9212858080863953,0.0,0.0021501744058397554,0.23393439738917204,reference (23-27C),SoH > 85%
mcu7,mcu7/2025-02-19_01.03.01 Aging_SamsungINR2170050E_Cell 7 Zelltester_1.hdf,3379,1,25.00931167602539,0.9184829644097222,0.9207883477210999,0.0,0.00230538331137764,0.25099902782184225,reference (23-27C),SoH > 85%
mcu7,mcu7/2025-02-19_05.29.37 Aging_SamsungINR2170050E_Cell 7 Zelltester_1.hdf,3378,1,24.992687225341797,0.9180631510416667,0.9202319383621216,0.0,0.00216878732045489,0.23623509101678986,reference (23-27C),SoH > 85%
mcu7,mcu7/2025-02-20_15.24.33 Aging_SamsungINR2170050E_Cell 7 Zelltester_1.hdf,3389,1,25.00932502746582,0.9210473090277778,0.9221340417861938,0.0,0.0010867327584160869,0.1179888098867799,reference (23-27C),SoH > 85%
mcu7,mcu7/2025-02-20_19.50.09 Aging_SamsungINR2170050E_Cell 7 Zelltester_1.hdf,3371,1,25.011016845703125,0.9160967881944444,0.9210401177406311,0.0,0.004943329546186703,0.5396077805195258,reference (23-27C),SoH > 85%
mcu7,mcu7/2025-02-21_00.15.17 Aging_SamsungINR2170050E_Cell 7 Zelltester_1.hdf,3370,1,25.0111083984375,0.9158595920138889,0.9205737709999084,0.0,0.004714178986019557,0.5147272602838086,reference (23-27C),SoH > 85%
mcu7,mcu7/2025-02-21_04.41.19 Aging_SamsungINR2170050E_Cell 7 Zelltester_1.hdf,3369,1,25.00391960144043,0.915630859375,0.9196909070014954,0.0,0.004060047626495367,0.44341533325632043,reference (23-27C),SoH > 85%
mcu7,mcu7/2025-02-21_09.07.01 Aging_SamsungINR2170050E_Cell 7 Zelltester_1.hdf,3367,1,24.99608612060547,0.9150061848958333,0.9186514019966125,0.0,0.003645217100779252,0.39838168975811167,reference (23-27C),SoH > 85%
mcu7,mcu7/2025-02-21_13.32.33 Aging_SamsungINR2170050E_Cell 7 Zelltester_1.hdf,3364,1,24.994182586669922,0.914318359375,0.9177441596984863,0.0,0.003425800323486383,0.3746835320935867,reference (23-27C),SoH > 85%
mcu7,mcu7/2025-02-21_17.59.38 Aging_SamsungINR2170050E_Cell 7 Zelltester_1.hdf,3363,1,24.987524032592773,0.9140276692708333,0.9169684052467346,0.0,0.0029407359759012763,0.32173380246215655,reference (23-27C),SoH > 85%
mcu7,mcu7/2025-02-21_22.27.18 Aging_SamsungINR2170050E_Cell 7 Zelltester_1.hdf,3361,1,25.00037956237793,0.9133856336805556,0.9163428544998169,0.0,0.002957220819261308,0.3237647615876074,reference (23-27C),SoH > 85%
mcu7,mcu7/2025-02-22_02.55.33 Aging_SamsungINR2170050E_Cell 7 Zelltester_1.hdf,3358,1,24.964963912963867,0.9127690972222222,0.9156667590141296,0.0,0.0028976617919074243,0.3174583583872101,reference (23-27C),SoH > 85%
mcu7,mcu7/2025-02-22_07.23.22 Aging_SamsungINR2170050E_Cell 7 Zelltester_1.hdf,3356,1,24.991601943969727,0.9119838324652778,0.9148556590080261,0.0,0.0028718265427483125,0.3148988436544079,reference (23-27C),SoH > 85%
mcu7,mcu7/2025-02-22_15.21.17 Aging_SamsungINR2170050E_Cell 7 Zelltester_1.hdf,3371,1,24.992481231689453,0.9161281467013889,0.9169487357139587,0.0,0.0008205890125698723,0.0895714224614193,reference (23-27C),SoH > 85%
mcu7,mcu7/2025-02-22_19.49.05 Aging_SamsungINR2170050E_Cell 7 Zelltester_1.hdf,3352,1,25.00130271911621,0.9110415581597222,0.9139748215675354,0.0,0.0029332634078131914,0.3219681233574349,reference (23-27C),SoH > 85%
mcu7,mcu7/2025-02-23_00.19.04 Aging_SamsungINR2170050E_Cell 7 Zelltester_1.hdf,3350,1,25.012001037597656,0.9105505642361111,0.913449764251709,0.0,0.002899200015597847,0.31840077085999885,reference (23-27C),SoH > 85%
mcu7,mcu7/2025-02-23_04.48.40 Aging_SamsungINR2170050E_Cell 7 Zelltester_1.hdf,3347,1,25.002771377563477,0.9096174045138888,0.9126784801483154,0.0,0.003061075634426591,0.336523423940252,reference (23-27C),SoH > 85%
mcu7,mcu7/2025-02-23_09.16.27 Aging_SamsungINR2170050E_Cell 7 Zelltester_1.hdf,3342,1,24.99717140197754,0.9083132052951389,0.9113999605178833,0.0,0.003086755222744375,0.3398337935361617,reference (23-27C),SoH > 85%
mcu7,mcu7/2025-02-23_13.45.35 Aging_SamsungINR2170050E_Cell 7 Zelltester_1.hdf,3340,1,24.982023239135742,0.9076244032118056,0.9108178019523621,0.0,0.0031933987405564634,0.35184143675026813,reference (23-27C),SoH > 85%
